ICAO;Type;ICAO-Type;W;C;AWC;Model
A306;Fixed-wing;2J/H;Heavy;C;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A30B;Fixed-wing;2J/H;Heavy;C;III;8
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A31;Fixed-wing;1P/S;Light;F;I;
;;;;;;
A310;Fixed-wing;2J/H;Heavy;C;III;7
;;;;;;
;;;;;;
A318;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
;;;;;;
A319;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
;;;;;;
A320;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
A321;Fixed-wing;2J/L;Medium;D;III;7
A33;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
A332;Fixed-wing;2J/H;Heavy;B;III;8
;;;;;;
;;;;;;
A333;Fixed-wing;2J/H;Heavy;B;III;8
A339;Fixed-wing;2J/H;Heavy;B;III;
;;;;;;
A342;Fixed-wing;4J/H;Heavy;B;III;9
;;;;;;
;;;;;;
A343;Fixed-wing;4J/H;Heavy;B;III;9
;;;;;;
;;;;;;
A345;Fixed-wing;4J/H;Heavy;B;III;9
;;;;;;
;;;;;;
A346;Fixed-wing;4J/H;Heavy;B;III;9
;;;;;;
A35;Fixed-wing;1P/S Light;F;I;;AVANTAGE, A-35 Scanner AVANTAGE, Scanner
;;;;;;AIRBUS, A-350-900 XWB
A359;Fixed-wing;2J/H Heavy;B;III;10;AIRBUS, A-350-900 XWB Prestige
;;;;;;AIRBUS, Prestige (A-350-900)
;;;;;;AIRBUS, A-350-1000 XWB
A35K;Fixed-wing;AIRBUS, A-350-1000 XWB Prestige NOWGT 2J/ Heavy;NOWGT;III;;
;;;;;;AIRBUS, Prestige (A-350-1000)
;;;;;;CESSNA, 318D Dragonfly
;;;;;;CESSNA, 318E Dragonfly
A37*;Fixed-wing;2J/S+ Light;F;III;;CESSNA, A-37 Dragonfly
;;;;;;CESSNA, Dragonfly
;;;;;;CESSNA, OA-37 Dragonfly
;;;;;;AIRBUS, A-380-800
A388;Fixed-wing;4J/J Heavy;A;III;10;AIRBUS, A-380-800 Prestige
;;;;;;AIRBUS, Prestige (A-380-800)
;;;;;;AIRBUS, A-300ST Beluga
;;;;;;AIRBUS, A-300ST Super Transporter
;;;;;;AIRBUS, Beluga
A3ST;Fixed-wing;2J/H Heavy;C;III;;AIRBUS, Super Transporter SATIC, A-300ST Beluga
;;;;;;SATIC, A-300ST Super Transporter
;;;;;;SATIC, Beluga
;;;;;;SATIC, Super Transporter
;;;;;;DOUGLAS, A-4 Skyhawk
;;;;;;DOUGLAS, Skyhawk
;;;;;;DOUGLAS, TA-4 Skyhawk
;;;;;;MCDONNELL DOUGLAS, A-4 Skyhawk
A4*;Fixed-wing;1J/S+ Medium;F;III;;MCDONNELL DOUGLAS, OA-4 Skyhawk MCDONNELL DOUGLAS, Skyhawk
;;;;;;MCDONNELL DOUGLAS, TA-4 Skyhawk
;;;;;;SINGAPORE, A-4 Super Skyhawk
;;;;;;SINGAPORE, Super Skyhawk
;;;;;;SINGAPORE, TA-4 Super Skyhawk
;;;;;;AIRBUS, A-400M Atlas
A400;Fixed-wing;4T/H Heavy;C;III;;AIRBUS, A-400M Grizzly AIRBUS, Atlas
;;;;;;AIRBUS, Grizzly
A5;@Fixed-wing;1P/S Light;F;I;;ICON, A-5
;;;;;;BERIEV, A-50
A50;Fixed-wing;4J/H Heavy;C;III;;BERIEV, Be-976 ILYUSHIN, A-50
;;;;;;ILYUSHIN, Be-976
;;;;;;ADAM (2), A-500
A500;Fixed-wing;2P/S Light;F;II;;ADAM (2), A-500 CarbonAero
;;;;;;ADAM (2), CarbonAero
A504;Fixed-wing;1P/S Light;F;I;;AVRO, 504 AVRO, 504 Replica
;;;;;;GRUMMAN, A-6 Intruder
;;;;;;GRUMMAN, EA-6 Prowler
;;;;;;GRUMMAN, G-128 Intruder
A6;Fixed-wing;2J/L Medium;E;III;;GRUMMAN, G-128 Prowler
;;;;;;GRUMMAN, Intruder
;;;;;;GRUMMAN, KA-6 Intruder
;;;;;;GRUMMAN, Prowler
A600;Helicopter;1P/S Light;F;I;;ROTORWAY, A-600 Talon
;;;;;;AYRES, S-2R-T660 Turbo Thrush
A660;Fixed-wing;1T/S+ Light;F;III;;AYRES, Turbo Thrush (S-2R-T660) THRUSH, S-2R-660 Turbo Thrush 660
;;;;;;THRUSH, Turbo Thrush 660
;;;;;;
;;;;;;
;;;;;;
A7*;Fixed-wing;1J/L;Medium;E;III;
;;;;;;
;;;;;;
;;;;;;
A700;Fixed-wing;2J/S;Light;F;III;
A743;Fixed-wing;2J/L;Medium;D;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A748;Fixed-wing;2T/L;Medium;D;III;5
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A890;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A9;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A900;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
A910;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AA1;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AA37;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AA5;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AAT3;Fixed-wing;1P/S;Light;F;I;
AAT4;Fixed-wing;1P/S;Light;F;I;
AB11;Fixed-wing;1P/S;Light;F;I;
AB15;Fixed-wing;1P/S;Light;F;I;
AB18;Fixed-wing;1P/S;Light;F;I;
AB95;Fixed-wing;1P/S;Light;F;I;
AC10;Gyrocopter;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC11;Fixed-wing;1P/S;Light;F;I;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC31;Helicopter;1T/S;Light;F;I;
AC33;Helicopter;3T/S+;Medium;F;I;
AC4;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC50;Fixed-wing;2P/S;Light;F;II;3
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC52;Fixed-wing;2P/S;Light;F;II;1
;;;;;;
;;;;;;
AC56;Fixed-wing;2P/S;Light;F;II;4
;;;;;;
;;;;;;
AC5A;Fixed-wing;1P/S;Light;F;I;
AC5M;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC68;Fixed-wing;2P/S;Light;F;II;5
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC6L;Fixed-wing;2P/S;Light;F;II;6
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC72;Fixed-wing;2P/S;Light;F;II;4
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC80;Fixed-wing;2T/S;Light;F;II;4
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC90;Fixed-wing;2T/S;Light;F;II;4
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AC95;Fixed-wing;2T/S;Light;F;II;6
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
ACAM;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
ACAR;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
ACED;Fixed-wing;1P/S;Light;F;I;
ACJR;@Fixed-wing;1P/S;Light;F;I;
ACPL;Fixed-wing;1P/S;Light;F;I;
ACR2;Fixed-wing;1P/S;Light;F;I;
ACRD;Fixed-wing;2P/S;Light;F;II;
;;;;;;
ACRO;Fixed-wing;1P/S;Light;F;I;
;;;;;;
ACSR;Fixed-wing;1P/S;Light;F;I;
AD20;Fixed-wing;1P/S;Light;F;I;
ADEL;Gyrocopter;1P/S;Light;F;I;
ADVE;Fixed-wing;1P/S;Light;F;I;
ADVN;@Fixed-wing;1P/S;Light;F;I;
;;;;;;
AE45;Fixed-wing;2P/S;Light;F;II;
;;;;;;
AEA1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
AERK;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AEST;Fixed-wing;2P/S;Light;F;II;5
;;;;;;
;;;;;;
;;;;;;
AFOX;Fixed-wing;1P/S;Light;F;I;
AG02;Fixed-wing;1P/S;Light;F;I;
AGSH;@Fixed-wing;1P/S;Light;F;I;
AI10;Fixed-wing;1P/S;Light;F;I;
;;;;;;
AIGT;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
AIRD;Fixed-wing;1P/S;Light;F;I;
;;;;;;
AIRL;Fixed-wing;2P/S;Light;F;II;
AJ27;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
AJET*;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
AK1;Fixed-wing;1P/S;Light;F;I;AKAFLIEG KARLSRUHE, AK-1
AKOY;@Fixed-wing;1P/S;Light;F;I;LISA , Akoya
AKRO;Fixed-wing;1P/S;Light;F;I;STEPHENS, Akro
ALBU;Fixed-wing;1P/S;Light;F;I;AVIATION DEVELOPMENT, Alaskan Bushmaster
ALC1;Fixed-wing;1P/S;Light;F;I;ALTAIR COELHO, AC-11
ALGR;Fixed-wing;1P/S;Light;F;I;FANTASY AIR, Allegro
ALH;Helicopter;2T/S;Light;F;I;HINDUSTAN, ALH Dhruv HINDUSTAN, Dhruv
ALIG;Fixed-wing;1P/S;Light;F;I;ARION, Lightning ARION, LS-1 Lightning
ALIZ;Fixed-wing;1T/S+;Medium;F;III;BREGUET, 1050 Alizé BREGUET, Alizé
;;;;;;AEROSPATIALE, Alouette 2
;;;;;;AEROSPATIALE, SA-318 Alouette 2
;;;;;;REPUBLIC, Alouette 2
;;;;;;REPUBLIC, SE-3130 Alouette 2
;;;;;;SUD, Alouette 2
ALO2;Helicopter;1T/S;Light;F;I;SUD, SA-318 Alouette 2
;;;;;;SUD, SA-3180 Alouette 2
;;;;;;SUD, SE-313 Alouette 2
;;;;;;SUD, SE-3130 Alouette 2
;;;;;;SUD-EST, Alouette 2
;;;;;;SUD-EST, SE-3130 Alouette 2
;;;;;;AEROSPATIALE, Alouette 3
;;;;;;AEROSPATIALE, SA-316 Alouette 3
;;;;;;AEROSPATIALE, SA-319 Alouette 3
;;;;;;F+W EMMEN, Alouette 3
;;;;;;F+W EMMEN, SE-3160 Alouette 3
;;;;;;HINDUSTAN, Chetak
;;;;;;HINDUSTAN, Chetan
;;;;;;HINDUSTAN, SA-316 Chetak
ALO3;Helicopter;1T/S;Light;F;I;HINDUSTAN, SA-316 Chetan HINDUSTAN, SE-3160 Chetak
;;;;;;ICA, Alouette 3
;;;;;;ICA, IAR-316 Alouette 3
;;;;;;LICHTWERK, Alouette 3
;;;;;;LICHTWERK, SE-3160 Alouette 3
;;;;;;SUD, Alouette 3
;;;;;;SUD, SA-316 Alouette 3
;;;;;;SUD, SA-319 Alouette 3
;;;;;;SUD, SE-3160 Alouette 3
;;;;;;AUSTER, Alpine
ALPI;Fixed-wing;1P/S;Light;F;I;AUSTER, J-5Q Alpine
;;;;;;AUSTER, J-5R Alpine
ALSL;Fixed-wing;1P/S;Light;F;I;AIRLONY, Skylane
ALTO;Fixed-wing;1P/S;Light;F;I;DIRECT FLY, Alto
;;;;;;AERFER-AERMACCHI, AM-3
AM3;Fixed-wing;1P/S;Light;F;I;AERITALIA-AERMACCHI, AM-3 ATLAS, AM-3 Bosbok
;;;;;;ATLAS, Bosbok
;;;;;;AERITALIA, AMX Ghibli
;;;;;;AERITALIA, Ghibli
;;;;;;AERMACCHI, AMX Ghibli
;;;;;;AERMACCHI, Ghibli
;;;;;;ALENIA, AMX Ghibli
AMX*;Fixed-wing;1J/S+;Medium;F;III;ALENIA, Ghibli  AMX, A-1
;;;;;;AMX, AMX
;;;;;;AMX, AMX Ghibli
;;;;;;AMX, Ghibli
;;;;;;EMBRAER, A-1
;;;;;;EMBRAER, AMX
AN12;Fixed-wing;4T/L;Medium;D;III;ANTONOV, An-12 SHAANXI, Y-8
;;;;;;AICSA, An-2
;;;;;;ANTONOV, An-2
AN2;Fixed-wing;1P/S;Light;F;I;NANCHANG, Y-5 PZL-MIELEC, An-2 Antek
;;;;;;PZL-MIELEC, Antek
;;;;;;SHIJIAZHUANG, Y-5
AN22;Fixed-wing;4T/H;Heavy;B;III;ANTONOV, An-22 Antheus ANTONOV, Antheus
;;;;;;ANTONOV, An-24
AN24;Fixed-wing;2T/L;Medium;D;III;XIAN, Y-7-100 XIAN, Y-7-200
;;;;;;XIAN, Y-7E
AN26;Fixed-wing;2T/L;Medium;D;III;ANTONOV, An-26 XIAN, Y-7H
;;;;;;ANTONOV, An-28
;;;;;;PZL-MIELEC, An-28
AN28;Fixed-wing;2T/S+;Light;F;III;PZL-MIELEC, An-28 Bryza
;;;;;;PZL-MIELEC, Bryza (TWD-10 engines)
;;;;;;PZL-MIELEC, M-28 Bryza (TWD-10 engines)
AN3;Fixed-wing;1T/S+;Light;F;III;ANTONOV, An-3
AN30;Fixed-wing;2T/L;Medium;D;III;ANTONOV, An-30
;;;;;;ANTONOV, An-32
;;;;;;ANTONOV, An-32 Firekiller
AN32;Fixed-wing;2T/L;Medium;D;III;ANTONOV, An-32 Sutlej
;;;;;;ANTONOV, Firekiller
;;;;;;ANTONOV, Sutlej
AN38;Fixed-wing;2T/S+;Medium;F;III;ANTONOV, An-38
AN70;Fixed-wing;4T/H;Medium;D;III;ANTONOV, An-70
;;;;;;ANTONOV, An-72
AN72;Fixed-wing;2J/L;Medium;D;III;ANTONOV, An-74-100
;;;;;;ANTONOV, An-74-200
AN8;Fixed-wing;2T/L;Medium;D;III;ANTONOV, An-8
;;;;;;ANGEL, 44 Angel
ANGL;Fixed-wing;2P/S;Light;F;II;ANGEL, Angel KING'S, 44 Angel
;;;;;;KING'S, Angel
ANKA;Fixed-wing;TAI, Anka NOWGT1P/;Light;NOWGT;I;
ANSN;Fixed-wing;2P/S;Light;F;II;AVRO, 652 Anson AVRO, Anson
ANST;Helicopter;2T/S;Light;F;I;KAZAN, Ansat
;;;;;;AEROPRAKT, A-20
;;;;;;AEROPRAKT, A-20 Sky Cruiser
;;;;;;AEROPRAKT, A-20 Super Cruiser
;;;;;;AEROPRAKT, A-20 Varlet
AP20;Fixed-wing;1P/S;Light;F;I;AEROPRAKT, A-20 Vista AEROPRAKT, SA-20 Vista
;;;;;;AEROPRAKT, Sky Cruiser
;;;;;;AEROPRAKT, Super Cruiser
;;;;;;AEROPRAKT, Varlet
;;;;;;AEROPRAKT, Vista
;;;;;;AEROPRAKT, A-22
;;;;;;AEROPRAKT, A-22 Foxbat
;;;;;;AEROPRAKT, A-22 Sharik
;;;;;;AEROPRAKT, A-22 Valor
AP22;Fixed-wing;1P/S;Light;F;I;AEROPRAKT, A-22 Vision
;;;;;;AEROPRAKT, Foxbat
;;;;;;AEROPRAKT, Sharik
;;;;;;AEROPRAKT, Valor
;;;;;;AEROPRAKT, Vision
AP24;@Fixed-wing;1P/S;Light;F;I;AEROPRAKT, A-24 Viking AEROPRAKT, Viking
;;;;;;
AP26;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
AP28;Fixed-wing;2P/S;Light;F;II;
;;;;;;
AP32;Fixed-wing;1P/S;Light;F;I;
AP36;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
APM2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
APM3;Fixed-wing;1P/S;Light;F;I;
APM4;Fixed-wing;1P/S;Light;F;I;
APUP;Fixed-wing;1P/S;Light;F;I;
;;;;;;
AR11;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
AR15;Fixed-wing;1P/S;Light;F;I;2
AR50;Fixed-wing;1P/S;Light;F;I;
AR5T;Fixed-wing;1P/S;Light;F;I;
AR65;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AR6T;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
AR79;Fixed-wing;1P/S;Light;F;I;
ARCE;Fixed-wing;1E/S;Light;F;I;
ARCP;Fixed-wing;1P/S;Light;F;I;
;;;;;;
ARES*;Fixed-wing;1J/S;Light;F;III;
;;;;;;
;;;;;;
ARKS;Fixed-wing;1P/S;Light;F;I;
;;;;;;
ARON;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
ARV1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
ARVA;Fixed-wing;2T/S+;Light;F;III;5
;;;;;;
;;;;;;
ARWF;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
AS02;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
AS14;Fixed-wing;1P/S;Light;F;I;
AS16;Fixed-wing;1P/S;Light;F;I;
AS20;Fixed-wing;1P/S;Light;F;I;
AS21;Fixed-wing;1P/S;Light;F;I;
;;;;;;
AS22;Fixed-wing;1P/S;Light;F;I;
;;;;;;
AS24;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
AS25;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
AS26;Fixed-wing;1P/S;Light;F;I;
AS28;Fixed-wing;1P/S;Light;F;I;
AS29;Fixed-wing;1P/S;Light;F;I;
AS2T;Fixed-wing;1T/S;Light;F;I;
AS30;Fixed-wing;1P/S;Light;F;I;
AS31;Fixed-wing;1P/S;Light;F;I;
;;;;;;AEROSPATIALE, AS-332B Super Puma
;;;;;;AEROSPATIALE, AS-332B1 Super Puma
;;;;;;AEROSPATIALE, AS-332C Super Puma
;;;;;;AEROSPATIALE, AS-332F1 Super Puma
;;;;;;AEROSPATIALE, AS-332L Super Puma
;;;;;;AEROSPATIALE, AS-332L Tiger
;;;;;;AEROSPATIALE, AS-332L1 Super Puma
;;;;;;AEROSPATIALE, AS-332M Super Puma
;;;;;;AEROSPATIALE, AS-332M1 Super Puma
;;;;;;AEROSPATIALE, AS-532SC Cougar
;;;;;;AEROSPATIALE, AS-532UC Cougar
;;;;;;AEROSPATIALE, AS-532UL Cougar
;;;;;;AEROSPATIALE, Cougar
;;;;;;AEROSPATIALE, Hkp10 Super Puma
;;;;;;AEROSPATIALE, Super Puma
;;;;;;AEROSPATIALE, Tiger
;;;;;;AIRBUS HELICOPTERS, AS-332C Super Puma
;;;;;;AIRBUS HELICOPTERS, AS-332L1 Super Puma
;;;;;;AIRBUS HELICOPTERS, AS-532AL Cougar
;;;;;;AIRBUS HELICOPTERS, Cougar
;;;;;;AIRBUS HELICOPTERS, Super Puma
;;;;;;ATLAS, Oryx
;;;;;;ATLAS, SA-330 Oryx
;;;;;;CASA, AS-332 Super Puma
AS32;Helicopter;2T/S+;Medium;F;I;CASA, Cougar  CASA, Super Puma
;;;;;;DIRGANTARA , NAS-332 Super Puma
;;;;;;DIRGANTARA, Super Puma
;;;;;;EUROCOPTER, AS-332C Super Puma
;;;;;;EUROCOPTER, AS-332L1 Super Puma
;;;;;;EUROCOPTER, AS-332M1 Super Puma
;;;;;;EUROCOPTER, AS-532AL Cougar
;;;;;;EUROCOPTER, AS-532SC Cougar
;;;;;;EUROCOPTER, AS-532UC Cougar
;;;;;;EUROCOPTER, AS-532UL Cougar
;;;;;;EUROCOPTER, Cougar
;;;;;;EUROCOPTER, Hkp10 Super Puma
;;;;;;EUROCOPTER, Super Puma
;;;;;;NURTANIO, NAS-332 Super Puma
;;;;;;NURTANIO, Super Puma
;;;;;;NUSANTARA, NAS-332 Super Puma
;;;;;;NUSANTARA, Super Puma
;;;;;;RUAG, AS-532 Cougar
;;;;;;RUAG, Cougar
;;;;;;SF, AS-532 Cougar
;;;;;;SF, Cougar
;;;;;;SINGAPORE, AS-332 Super Puma
;;;;;;SINGAPORE, Super Puma
;;;;;;TAI, AS-532 Cougar
;;;;;;TAI, Cougar
;;;;;;AEROSPATIALE, AS-332L2 Super Puma Mk2
;;;;;;AEROSPATIALE, AS-532A2 Cougar Mk2
;;;;;;AEROSPATIALE, AS-532U2 Cougar Mk2
;;;;;;AEROSPATIALE, Cougar Mk2
AS3B;Helicopter;2T/S+;Medium;F;I;AEROSPATIALE, Super Puma Mk2 EUROCOPTER, AS-332L2 Super Puma Mk2
;;;;;;EUROCOPTER, AS-532A2 Cougar Mk2
